true,pred,margin,text
Neutral,Negative,1.6210162743923298,"""If it weren't for Christians, the Aztecs would never have stopped killing babies (like Planned Parenthood does.)"
Neutral,Negative,1.303813128407965,USERTOKEN USERTOKEN USERTOKEN the States ensured SCOTUS could take this action by enacting 14th Amendment
Neutral,Positive,1.2236242961775705,"""Should've went to watch Paper Towns first, I'll just go see it tomorrow"""
Negative,Positive,1.2139504281215105,All my friends are going to the Sam Smith concert tomorrow and I got offered a ticket but ya girl ain't got $145 so I'm maddddd
Neutral,Negative,1.178137400970658,"""Was going to play DA but man I'm so fucking tired I may just go the fuck to bed. But Twilight is up to 22k, yay ^_^"""
Positive,Negative,1.1766376461645174,Transgender is a difficult subject but it has been timed well with the Caitlyn Jenner thing so that may give it some appeal.
Neutral,Negative,1.152727446270777,USERTOKEN you may not put bumpers stickers on a Bentley you also don't let a shit load a people drive it either if you get my drift
Positive,Neutral,1.1389753988843854,Josh Hamilton hit a two run homer in 2011 WS in the 10th with a sports hernia. If anyone with any decent fielding skills catches the ball...
Positive,Negative,1.0962830238245052,"USERTOKEN With this sweet and sudden u-turn frin Israel, don't we all understand how the term doenmeah was coined in the 1st place?"""
Positive,Neutral,1.0531443843488348,28 January 2016 - Workshop in Milan - Digital Transformation the door to success!
Positive,Neutral,1.0469473051541982,USERTOKEN Agree Ron ..... John Kasich will get the chat after its all said and Done ! Carly Ferino will get the chat frm the 1st debate
Positive,Negative,1.0333113649409422,i wanna party with justin and get really drunk then fuck like theres no tomorrow
